'sample #','V5','V2'
0,984,1025
1,984,1025
2,984,1025
3,984,1025
4,984,1025
5,984,1025
6,984,1025
7,984,1025
8,986,1025
9,989,1025
10,986,1025
11,983,1023
12,982,1023
13,984,1026
14,985,1022
15,982,1022
16,978,1020
17,977,1017
18,975,1019
19,977,1022
20,978,1018
21,978,1016
22,975,1014
23,970,1012
24,972,1015
25,976,1017
26,979,1013
27,980,1011
28,979,1009
29,979,1005
30,979,1007
31,979,1009
32,980,1007
33,977,1006
34,972,1004
35,972,1000
36,972,1003
37,972,1004
38,973,1003
39,973,999
40,972,997
41,972,995
42,971,998
43,974,1002
44,976,998
45,973,996
46,971,994
47,968,994
48,972,993
49,973,996
50,974,994
51,975,994
52,974,989
53,973,990
54,975,993
55,976,993
56,974,993
57,975,990
58,971,988
59,970,989
60,974,991
61,974,994
62,975,992
63,974,992
64,973,994
65,973,994
66,976,996
67,975,999
68,971,999
69,972,998
70,970,999
71,968,997
72,968,999
73,971,1001
74,971,999
75,972,997
76,971,997
77,973,996
78,975,997
79,978,998
80,978,995
81,977,993
82,978,991
83,977,987
84,981,985
85,986,988
86,989,986
87,989,984
88,985,982
89,979,980
90,979,983
91,979,981
92,978,979
93,981,977
94,979,973
95,979,974
96,983,975
97,991,979
98,997,978
99,997,980
100,995,980
101,991,978
102,990,982
103,990,983
104,987,981
105,983,985
106,979,992
107,978,1008
108,985,1053
109,993,1130
110,1000,1185
111,1010,1171
112,1023,1121
113,1067,1081
114,1139,1072
115,1193,1068
116,1184,1055
117,1129,1044
118,1079,1031
119,1060,1011
120,1063,993
121,1070,970
122,1075,941
123,1080,905
124,1081,871
125,1084,835
126,1088,812
127,1092,793
128,1095,776
129,1093,755
130,1090,733
131,1088,703
132,1092,673
133,1100,638
134,1104,604
135,1106,577
136,1103,552
137,1097,526
138,1091,505
139,1086,484
140,1076,466
141,1063,452
142,1049,438
143,1034,423
144,1017,415
145,998,411
146,974,405
147,953,398
148,940,393
149,937,393
150,945,395
151,948,405
152,946,418
153,943,433
154,936,459
155,931,486
156,930,519
157,932,555
158,937,594
159,940,636
160,943,682
161,948,729
162,956,776
163,962,825
164,965,864
165,963,902
166,962,935
167,960,968
168,960,1007
169,962,1037
170,962,1068
171,963,1094
172,966,1116
173,966,1135
174,971,1151
175,972,1162
176,976,1172
177,975,1179
178,976,1189
179,977,1194
180,981,1205
181,984,1213
182,985,1218
183,983,1225
184,981,1233
185,984,1238
186,984,1249
187,986,1258
188,986,1263
189,986,1271
190,987,1274
191,985,1285
192,987,1295
193,989,1304
194,991,1311
195,990,1317
196,990,1325
197,992,1334
198,994,1345
199,996,1354
200,997,1360
201,997,1366
202,994,1370
203,994,1380
204,996,1390
205,998,1397
206,1000,1402
207,1000,1404
208,1001,1408
209,1001,1410
210,1004,1414
211,1006,1419
212,1007,1415
213,1008,1416
214,1006,1415
215,1006,1412
216,1008,1413
217,1012,1409
218,1012,1403
219,1014,1395
220,1015,1388
221,1010,1380
222,1013,1376
223,1013,1367
224,1016,1355
225,1016,1345
226,1015,1331
227,1014,1318
228,1014,1310
229,1014,1296
230,1014,1284
231,1014,1271
232,1014,1255
233,1011,1241
234,1011,1230
235,1011,1220
236,1010,1206
237,1010,1191
238,1006,1176
239,1003,1167
240,1003,1155
241,1003,1147
242,1002,1135
243,1002,1123
244,996,1113
245,994,1104
246,994,1097
247,993,1089
248,994,1079
249,993,1071
250,987,1061
251,987,1056
252,988,1054
253,987,1051
254,989,1044
255,986,1039
256,983,1033
257,979,1028
258,980,1030
259,983,1028
260,984,1024
261,981,1021
262,979,1020
263,979,1017
264,978,1017
265,978,1016
266,979,1014
267,979,1010
268,978,1010
269,976,1011
270,975,1010
271,978,1013
272,977,1010
273,978,1009
274,975,1008
275,974,1007
276,978,1010
277,977,1011
278,978,1010
279,977,1010
280,974,1008
281,975,1007
282,975,1009
283,977,1013
284,976,1012
285,978,1012
286,977,1011
287,975,1010
288,977,1012
289,978,1016
290,979,1017
291,980,1016
292,980,1016
293,977,1016
294,978,1016
295,980,1020
296,983,1020
297,979,1016
298,978,1018
299,978,1017
300,978,1021
301,981,1020
302,981,1020
303,980,1018
304,977,1019
305,976,1018
306,977,1017
307,978,1021
308,979,1020
309,978,1017
310,974,1015
311,973,1015
312,975,1017
313,976,1016
314,976,1015
315,976,1015
316,973,1012
317,973,1008
318,972,1011
319,975,1012
320,975,1011
321,974,1006
322,971,1005
323,969,1004
324,970,1005
325,974,1004
326,973,1003
327,970,1001
328,969,997
329,967,996
330,967,997
331,971,1000
332,969,997
333,969,995
334,968,993
335,966,994
336,969,994
337,969,994
338,971,993
339,969,992
340,966,990
341,963,988
